_min_act,ExplainedVarNew,Steps,_lr_multiplier,_std_adv,_std_discrew,_std_act,_MeanReward,_mean_adv,_mean_discrew,_mean_obs,_max_discrew,_max_obs,_max_act,_max_adv,KL,_min_obs,_min_discrew,_Episode,ValFuncLoss,PolicyLoss,_std_obs,Beta,_mean_act,_min_adv,ExplainedVarOld,PolicyEntropy
-1.0558773,0.042246485421668645,992,1.0,0.9999920429920022,0.04250273250569755,0.40532917,-118.9,-1.1460366705808067e-16,-0.42117265020246303,0.33885713582836147,-0.0050000000000000044,1.9908088213586785,3.0660381,1.3366011650697776,0.0021365425,-0.8384955192425074,-0.6108437214656792,20,0.04264177967987674,-0.001553881,0.046766361935666086,1.0,0.82377684,-2.5440760796692636,-0.5106220996062432,0.922914
-1.8273742,0.055128326815251705,1029,1.0,0.9999867994805867,0.04590702033414719,0.49566963,-86.1,5.524141774616911e-17,-0.2712173125140734,0.027456748866969843,-0.0050000000000000044,0.6038595653857073,2.9281483,1.079665530659673,0.001145164,-0.7274413544917875,-0.6127895028583509,40,0.0433941552912139,-0.0021828462,0.03878467691777973,0.6666666666666666,0.42392772,-3.113850358105023,0.008266397841776296,0.92491233
-2.1292684,0.14055016807946574,1046,1.0,0.9999819001105476,0.027539787360458572,0.50853837,-67.15,-1.3585903169409181e-17,-0.1866181238335215,0.01441572258956761,-0.0050000000000000044,0.5932328945798376,2.3767347,0.7788262812573956,0.003891922,-0.6787501968534959,-0.6127895028583509,60,0.023969300706546223,-0.0026691384,0.036123508727314346,0.6666666666666666,0.30257958,-4.178946182359184,0.10665631284357224,0.9282689
-2.8849921,0.15541617264857777,1067,1.0,0.9999812774111775,0.02754672844526888,0.57989216,-68.2,-5.327405703918277e-17,-0.18867373034573753,0.010712622203153773,-0.0050000000000000044,0.5871684549179835,2.8281896,0.655497198906638,0.00049576774,-0.6512683628180455,-0.6127895028583509,80,0.02360446042751026,-0.00062680914,0.03491583531115111,0.4444444444444444,0.16408816,-4.3314200790536415,0.14016357937690238,0.9267146
-1.9669491,0.3251040053794386,1080,1.0,0.9999700783896481,0.013118753685426338,0.5640237,-58.95,1.3158198810372226e-17,-0.14739700904388095,0.008598217496712707,-0.0050000000000000044,0.5808390344082707,3.1307366,0.8173536824360191,0.007349853,-0.6343756010113535,-0.6127895028583509,100,0.009078097428975656,-0.0035512047,0.03469460560801323,0.6666666666666666,0.14768456,-6.897254794817551,0.30651166273558994,0.92611384
-2.72104,0.17314013432284514,1083,1.0,0.9999784269138686,0.02165579842670182,0.5977915,-64.05,-2.6243499012376737e-17,-0.1705804961055732,0.007718265193440336,-0.0050000000000000044,0.5748612781823379,2.0125678,0.7163290608541637,0.004904359,-0.6228532151455978,-0.6223734454669053,120,0.018295569966686964,-0.0020366185,0.033513159815389805,0.6666666666666666,0.09867332,-5.604249776046309,0.1401773929117196,0.9235802
-2.5947895,0.1477911993851011,1080,1.0,0.9999809351924525,0.027905464055065762,0.5425219,-68.85,5.2632795241488905e-17,-0.1906520494236794,0.006955182268565374,-0.0050000000000000044,0.5717766443274441,2.4508772,0.6454612699970117,0.00047142644,-0.6147606060043759,-0.6166519275673389,140,0.02400129491645302,-0.00021885848,0.032850158133327555,0.4444444444444444,0.08157922,-4.308188137072658,0.14624175177281895,0.923606
-2.5126739,0.9856390469137073,1093,1.0,0.999868023503311,0.004776987565612407,0.597217,-54.65,1.9502545354806042e-16,-0.12756450305235112,0.00649731302420127,-0.0050000000000000044,0.5689485752178421,2.249352,3.551331446493293,0.0014469611,-0.6081750969126828,-0.25973904230329553,160,0.0011146367895467355,-0.0005380837,0.03319495908761415,0.2962962962962963,0.07864431,-2.3881063687633945,0.9776780860842172,0.9244745
-2.5105565,0.3629196459828087,1086,1.0,0.99996781535401,0.013065212405630992,0.60501283,-59.25,0.0,-0.14776809244057684,0.007754551384296756,-0.0050000000000000044,0.5676073208608468,2.5541883,0.8109852952188383,0.008366416,-0.6032421182864921,-0.6127895028583509,180,0.00837733952491953,-0.002697089,0.03279181799842305,0.4444444444444444,0.097129956,-7.14770025663822,0.3625157518379313,0.92642605
-2.4250448,0.2467930276551885,1129,1.0,0.9999764306956143,0.020508846584468575,0.6877849,-66.35,-5.034846666147743e-17,-0.1728165120754512,0.003541117162508059,-0.0050000000000000044,0.5654476561243218,2.9657743,0.5123679280087667,0.0052384348,-0.5994422928415164,-0.6166519275673389,200,0.01579646659385081,-0.0017878483,0.034893875627049854,0.4444444444444444,-0.037947882,-5.40737051575017,0.24591933395108356,0.9247817
